Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_S2B-PH-SM4-TB_LF__SN_,1,Battery_Cell,
"C1, C2, C3, C30, C4, C5, C6, C61, C7, C8",0402,10,100nF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C27, C28, C29, C34, C36, C38, C41, C43, C44, C45, C52, C57, C58, C9",0402,27,1uF,
"C23, C24, C25, C26, C60",0402,5,4.7uF,C307423
"C33, C46, C47, C48, C49, C50",0402,6,4.7uF,
C40,0402,1,10uF,
C42,0603,1,22uF,
C51,0402,1,2.2uF,
"C53, C54, C55, C56",0402,4,2.2nF,
D1,D_SMA,1,US1B,
"D10, D11, D12, D9",CD0201T20LC,4,D_TVS,
D14,0603,1,LED,
D2,sk6805ec14,1,SK6805,
"D3, D4, D5",D_SOD-123,3,MBR0530,
"D6, D7, D8",Diodes_UDFN3810-9_TYPE_B-better-pinout,3,D3V3X8U9LP3810,
F1,0603,1,500mA,C210357
IC1,SOIC127P600X175-8N,1,AS5600-ASOM,
IC2,QFN40P180X260X55-16N,1,TCAL9538RSVR,
IC3,SON65P200X200X80-7N,1,LP5912-3.3DRVR,
IC4,QFN40P500X500X80-41N-D,1,ES9218PQ,
IC5,BGA9C50P3X3_158X162X62,1,BQ27427YZFR,
J1,FH34SRJ24S05SH99-disp,1,GDEY0154D67,
J2,MEM20900014500A,1,MEM2090-00-145-00-A,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J4,CUI_SJ2-35954B-SMT-TR,1,SJ2-35954B-SMT-TR,
L1,L_TDK_MLZ2012_h1.25mm,1,47uF,
M1,PUI_HD-EMB1204-SM,1,HD-EMB1204-SM,
"Q1, Q2, Q3",SOT-23,3,SS8050,
Q4,SOT-323_SC-70,1,Si1308EDL,
"R1, R10, R11, R14, R15, R18, R2, R21, R22, R23, R24, R27, R3, R33, R35, R4, R5, R6, R7, R8",0402,20,10k,
R12,0402,1,1M,
R13,0402,1,2.2R,
"R16, R31",0402,2,10k,C25744
R17,0402,1,47k, C93943
R19,0402,1,1.5k,C25867
R20,0402,1,1.7k,C131467
"R25, R26",0402,2,5.1k,C25905
"R28, R29",0402,2,47k,
R30,0402,1,100k,
R32,0402,1,1.5k,C25744
R9,0402,1,1k,
"SW1, SW2, SW3, SW4, SW5",SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,5,SW_Push,
"SW6, SW7",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
"TP1, TP10, TP13, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,16,TestPoint,
U1,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,
"U10, U7",Texas_X2SON-4_1x1mm_P0.65mm,2,LP5907SNX-1.8/NOPB,
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
"U3, U4, U6",Texas_X2SON-4_1x1mm_P0.65mm,3,LP5907SNX-3.3/NOPB,
U8,SOT-23-6,1,USBLC6-2SC6,C7519
U9,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,
Y1,ECS2520SMV500GPTR,1,ECS-2520SMV-500-GP-TR,
