Designator,Mid X,Mid Y,Rotation,Layer
BT1,83.685,-85.6,270.0,bottom
C1,80.47,-25.84,0.0,bottom
C10,96.16,-73.11,270.0,top
C11,94.71,-50.38,180.0,top
C12,83.5,-59.0,270.0,top
C13,92.66,-48.94,270.0,top
C14,96.28,-53.9,0.0,top
C15,99.62,-38.42,270.0,bottom
C16,78.44,-56.93,270.0,top
C17,93.46,-56.2,90.0,top
C18,94.19,-54.82,0.0,top
C19,94.2,-53.9,0.0,top
C2,77.83,-71.015,90.0,bottom
C20,98.38,-53.91,180.0,top
C21,98.38,-54.83,180.0,top
C22,98.68,-56.21,90.0,top
C23,86.13,-76.33,270.0,bottom
C24,79.9,-80.42,180.0,bottom
C25,83.06,-73.75,180.0,bottom
C26,83.06,-74.67,180.0,bottom
C27,82.49,-40.94,90.0,bottom
C28,83.41,-40.945,90.0,bottom
C29,82.5,-36.15,0.0,bottom
C3,106.14,-48.165,270.0,bottom
C30,76.37,-45.26,90.0,top
C33,83.39,-69.57,180.0,bottom
C34,95.035,-31.195,180.0,bottom
C36,92.9,-31.14,0.0,bottom
C38,96.34,-40.67,90.0,bottom
C4,108.715838,-29.6525,270.0,bottom
C40,97.64,-79.93,270.0,bottom
C41,86.45,-45.2,180.0,bottom
C42,87.6,-33.345,90.0,bottom
C43,88.95,-33.32,90.0,bottom
C44,91.68,-42.65,270.0,bottom
C45,94.32,-38.36,180.0,bottom
C46,94.335,-39.285,180.0,bottom
C47,92.89,-34.07,0.0,bottom
C48,94.71,-34.07,0.0,bottom
C49,93.9,-40.665,270.0,bottom
C5,106.17,-72.955,270.0,bottom
C50,83.86,-37.54,90.0,bottom
C51,90.64,-32.946761,0.0,bottom
C52,90.637535,-33.87,0.0,bottom
C53,84.85,-36.5,270.0,bottom
C54,96.43,-36.7,0.0,bottom
C55,86.26,-37.26,180.0,bottom
C56,94.545,-37.26,0.0,bottom
C57,78.02,-79.72,0.0,bottom
C58,78.02,-80.64,0.0,bottom
C6,105.55,-75.05,90.0,top
C60,101.93,-70.2775,0.0,bottom
C61,101.93,-69.3575,180.0,bottom
C7,95.19,-76.84,270.0,top
C8,98.52,-83.58,180.0,bottom
C9,94.22,-75.17,180.0,top
D1,106.33,-83.37,0.0,bottom
D10,97.28,-28.03,270.0,bottom
D11,97.27,-32.6,180.0,bottom
D12,104.48,-36.29,0.0,bottom
D14,74.5,-79.7575,90.0,bottom
D2,74.81,-45.26,180.0,top
D3,91.07,-52.2,270.0,top
D4,88.77,-52.2,90.0,top
D5,96.77,-51.09,90.0,top
D6,88.45,-56.21,270.0,top
D7,96.07,-56.19,270.0,top
D8,76.21,-65.76,90.0,bottom
D9,107.98,-23.1425,270.0,bottom
F1,96.15,-80.24,270.0,bottom
IC1,92.0,-72.0,180.0,top
IC2,102.88,-38.7,270.0,bottom
IC3,83.55,-71.68,270.0,bottom
IC4,90.29,-38.26,180.0,bottom
IC5,78.65,-77.755,270.0,bottom
J1,92.0,-59.97,0.0,top
J2,81.83,-56.02,90.0,bottom
J3,91.99,-88.155,0.0,bottom
J4,102.5,-27.92,270.0,bottom
L1,94.37,-49.04,0.0,top
M1,101.16,-87.64,180.0,bottom
Q1,98.89,-71.6625,270.0,top
Q2,102.29,-71.6625,270.0,top
Q3,100.5825,-82.28,180.0,bottom
Q4,93.92,-52.14,0.0,top
R1,82.42,-25.84,0.0,bottom
R10,104.63,-50.56,180.0,top
R11,104.05,-52.55,180.0,top
R12,85.37,-56.65,180.0,top
R13,85.37,-55.69,180.0,top
R14,101.47,-36.7,0.0,bottom
R15,103.19,-41.77,180.0,bottom
R16,86.35,-79.61,0.0,bottom
R17,86.6,-77.71,180.0,bottom
R18,81.82,-80.6,180.0,bottom
R19,84.51,-74.95,90.0,bottom
R2,77.83,-72.955,90.0,bottom
R20,86.6,-78.65,180.0,bottom
R21,88.4,-73.85,180.0,bottom
R22,97.4,-70.925,0.0,bottom
R23,91.725,-70.09,270.0,bottom
R24,92.755,-70.09,270.0,bottom
R25,89.83,-80.0,90.0,bottom
R26,94.17,-80.0,90.0,bottom
R27,86.43,-46.13,180.0,bottom
R28,97.69,-52.3,180.0,bottom
R29,94.24,-52.2,0.0,bottom
R3,106.14,-46.225,270.0,bottom
R30,96.3,-76.86,90.0,top
R31,78.89,-75.775,0.0,bottom
R32,74.5,-77.15,270.0,bottom
R33,77.29,-38.75,180.0,top
R35,103.79,-35.5025,0.0,bottom
R4,107.785838,-29.6825,90.0,bottom
R5,106.17,-71.015,270.0,bottom
R6,105.55,-77.0,90.0,top
R7,100.56,-75.0,180.0,top
R8,100.57,-74.06,0.0,top
R9,101.53,-79.27,270.0,bottom
SW1,81.5,-23.25,180.0,bottom
SW2,75.2,-72.005,90.0,bottom
SW3,108.75,-47.22,270.0,bottom
SW4,108.75,-34.52,270.0,bottom
SW5,108.8,-72.005,270.0,bottom
SW6,103.14,-78.57,90.0,top
SW7,98.54,-78.69,90.0,top
U1,99.05,-62.1,90.0,bottom
U10,95.115,-40.665,270.0,bottom
U2,83.54,-78.0025,90.0,bottom
U3,82.96,-42.605,0.0,bottom
U4,82.65,-37.547322,90.0,bottom
U6,94.535,-32.7,90.0,bottom
U7,93.04,-32.7,90.0,bottom
U8,92.0,-80.0,90.0,bottom
U9,92.0,-73.8,180.0,bottom
Y1,85.565,-41.425,90.0,bottom
